0.005,0,2.1325,1.94,4.12,3.7325,4.5475,4.1025,4.815,4.2825,5.275,4.7925,5.845,5.2275,5.9925,5.445,6.02,5.46,5.4225,4.9025,4.2725,3.8425,3.24,2.885,2.6,2.2225,2.0625,1.7175,1.7625,1.485,1.65,1.3675,1.57,1.3475,1.595,1.3475,1.71,1.4975,1.65,1.42,1.6225
0,0,2.4225,2.1875,4.535,4.1575,4.845,4.385,5.04,4.5375,5.3325,4.8525,5.5075,5.0175,5.0725,4.595,4.4725,4.0475,3.58,3.2325,2.445,2.135,1.8575,1.5775,1.555,1.305,1.4175,1.165,1.32,1.145,1.285,1.1025,1.2925,1.1,1.1675,1.01,1.2375,1.065,1.24,1.0675,1.335
0.0075,0.005,2.8125,2.52,5.395,4.915,5.94,5.45,6.4625,5.785,6.645,5.9775,6.785,6.045,6.8225,6.1875,6.3375,5.68,4.8925,4.405,3.6175,3.1875,2.7425,2.32,2.2025,1.8725,1.9725,1.705,1.835,1.545,1.7675,1.4875,1.7,1.455,1.6575,1.3675,1.6875,1.4725,1.69,1.45,1.68
0.0025,0.0025,2.01,1.825,3.8625,3.5325,4.395,3.9475,4.835,4.355,5.085,4.585,5.2025,4.6825,5.215,4.725,4.995,4.49,4.3225,3.9125,3.49,3.1675,2.7475,2.38,2.1525,1.78,1.7775,1.4875,1.6,1.3525,1.4425,1.235,1.4025,1.235,1.44,1.2,1.36,1.1725,1.405,1.1675,1.5125
0.0075,0.005,2.31,2.0775,4.845,4.445,5.73,5.1575,6.2975,5.705,6.88,6.265,7.27,6.6275,7.195,6.59,6.7775,6.105,5.575,5.0325,4.25,3.83,3.3425,2.8475,2.43,2.0475,2.0825,1.69,1.81,1.5275,1.9025,1.575,1.9275,1.62,1.86,1.6125,1.9725,1.715,1.94,1.695,1.965
0.0125,0.0025,2.4425,2.17,4.725,4.2925,5.7025,5.0975,6.1775,5.6,6.725,6.1175,7.2875,6.6,7.3275,6.605,6.7475,6.0825,5.6025,4.9925,4.18,3.73,3.2225,2.8775,2.53,2.095,2.0375,1.6375,1.8325,1.53,1.825,1.5675,1.7575,1.5075,1.7175,1.4625,1.84,1.58,1.96,1.7075,2.12
0.015,0.0025,1.93,1.745,3.59,3.2325,3.8975,3.5325,4.165,3.7625,4.26,3.81,4.445,4.03,4.64,4.1525,4.255,3.83,3.6675,3.285,2.7875,2.45,2.115,1.8525,1.59,1.3225,1.345,1.1525,1.29,1.0675,1.2625,1.065,1.175,1.0175,1.16,0.99,1.1625,0.9775,1.2125,1.0075,1.1425
0.0075,0,2.96,2.67,5.5225,5.0675,5.7075,5.1875,5.905,5.3625,6.0825,5.49,6.2325,5.66,6.1025,5.54,5.3375,4.8175,4.12,3.705,3.095,2.7475,2.4175,2.0575,1.895,1.5375,1.65,1.355,1.5425,1.305,1.4425,1.25,1.4625,1.235,1.595,1.3475,1.575,1.335,1.65,1.4275,1.7275
0.0025,0,2.3075,2.085,4.56,4.1275,5.045,4.5775,5.4825,4.95,6.1075,5.48,6.2425,5.6725,6.0475,5.48,5.52,5.035,4.445,3.94,3.1525,2.7275,2.29,1.9175,1.895,1.6025,1.655,1.3475,1.4975,1.2625,1.4075,1.19,1.3525,1.1725,1.39,1.1775,1.3775,1.1675,1.57,1.365,1.5775
0.0075,0.0075,1.85,1.6375,3.695,3.4225,4.1475,3.7125,4.48,4.0425,4.8,4.355,5.13,4.5775,5.455,4.965,5.1975,4.7,4.28,3.8675,3.425,3.0175,2.6,2.335,2.095,1.8325,1.7525,1.5125,1.585,1.34,1.5025,1.2575,1.47,1.285,1.5325,1.3375,1.4725,1.2575,1.435,1.215,1.465
